model,translator loading times(s),text translation times (s),num of texts translated,seconds/text,num of samples,date,notes
petrai_2_eng-rus,28.829256463050843,180.21722781658173,50,3.6043445563316343,10,2024-03-25 17:25:31.380952,3003
petrai_2_rus-eng,28.665567302703856,65.72320551872254,50,1.3144641103744508,10,2024-03-25 17:41:15.532866,3003
prefixed_petrai_2_eng-rus,28.738204288482667,183.66112644672393,50,3.6732225289344784,10,2024-03-25 18:16:39.829385,3003
prefixed_petrai_2_rus-eng,28.655064463615417,63.636489272117615,50,1.2727297854423523,10,2024-03-25 18:32:03.038477,3003
petrai_3_eng-rus,29.455988216400147,186.26432688236235,50,3.7252865376472473,10,2024-03-25 19:08:00.540505,3003
petrai_3_rus-eng,28.39136028289795,59.1108558177948,50,1.182217116355896,10,2024-03-25 19:22:35.880563,3003
prefixed_petrai_3_eng-rus,28.616682147979738,169.99228537082672,50,3.3998457074165342,10,2024-03-25 19:55:42.298038,3003
prefixed_petrai_3_rus-eng,28.433254742622374,55.137325406074524,50,1.1027465081214904,10,2024-03-25 20:09:38.304437,3003
m4t_eng-rus,10.678369450569154,121.58810284137726,50,2.4317620568275453,10,2024-03-25 20:31:42.961511,3003
m4t_rus-eng,10.222860622406007,106.03766822814941,50,2.1207533645629884,10,2024-03-25 20:51:07.381826,3003
fair_eng-rus,1.0822307348251343,28.891388273239137,50,0.5778277654647828,10,2024-03-25 20:56:07.323614,3003
fair_rus-eng,0.9175344228744506,25.587634134292603,50,0.5117526826858521,10,2024-03-25 21:00:32.579230,3003
helsinki_eng-rus,1.8314909934997559,15.419795489311218,50,0.30839590978622433,10,2024-03-25 21:03:25.370928,3003
helsinki_rus-eng,1.745314860343933,16.222884011268615,50,0.3244576802253723,10,2024-03-25 21:06:25.356275,3003
